,TimeTick,1,0.8,0.5,0.3,0.1
13/05/2023,1.717392,0,5636.876025,15918.19688,20129.35271,26880.78057
13/05/2023,1.734059,0,5749.762244,16197.07898,20523.76659,27386.10456
13/05/2023,1.750726,0,5862.454498,16475.41445,20917.4858,27890.50163
13/05/2023,1.767393,0,5974.947684,16753.19229,21310.49702,28393.95181
13/05/2023,1.784059,0,6087.239281,17030.40308,21702.78694,28896.44095
13/05/2023,1.800726,0,6199.324204,17307.06591,22094.34454,29397.95493
13/05/2023,1.817393,0,6311.199302,17583.11285,22485.15207,29898.47101
13/05/2023,1.83406,0,6422.862065,17858.56467,22875.19855,30397.98085
13/05/2023,1.850727,0,6534.306159,18133.41361,23264.47078,30896.45611
13/05/2023,1.867393,0,6645.529089,18407.64722,23652.95558,31393.88563
13/05/2023,1.88406,0,6756.527726,18681.2578,24040.6398,31890.25541
13/05/2023,1.900727,0,6867.297677,18954.23609,24427.51253,32385.54582
13/05/2023,1.917394,0,6978.102453,19226.5744,24813.55405,32879.73725
13/05/2023,1.934067,0,7088.403214,19498.2635,25198.76013,33372.81864
13/05/2023,1.950733,0,7198.463426,19769.2911,25583.1089,33864.77328
13/05/2023,1.9674,0,7308.280624,20039.64802,25966.59397,34355.57608
13/05/2023,1.984067,0,7417.849833,20309.32821,26349.19796,34845.21886
13/05/2023,2.000734,0,7527.167975,20578.31947,26730.91013,35333.68504
13/05/2023,2.017401,0,7636.231973,20846.61575,27111.71755,35820.95249
13/05/2023,2.034067,0,7745.037508,21114.20491,27491.60734,36307.00751
13/05/2023,2.050734,0,7853.580279,21381.07943,27870.56664,36791.83366
13/05/2023,2.067401,0,7961.857853,21647.2318,28248.58262,37275.41175
13/05/2023,2.084068,0,8069.865326,21912.65148,28625.64248,37757.73097
13/05/2023,2.100734,0,8177.600894,22177.32797,29001.73347,38238.77221
13/05/2023,2.117402,0,8285.058446,22441.25686,29376.84286,38718.52466
13/05/2023,2.134069,0,8392.235578,22704.42467,29750.96008,39196.95839
13/05/2023,2.150736,0,8499.129274,22966.82251,30124.07032,39674.06545
13/05/2023,2.167403,0,8605.734692,23228.443,30496.15884,40149.83239
13/05/2023,2.184069,0,8712.048837,23489.27878,30867.21729,40624.23769
13/05/2023,2.200736,0,8818.068716,23749.31953,31237.2331,41097.2707
13/05/2023,2.217403,0,8923.789528,24008.55496,31606.18951,41568.91
13/05/2023,2.23407,0,9029.208904,24266.97926,31974.07405,42039.14503
13/05/2023,2.250737,0,9134.322069,24524.58073,32340.87638,42507.95717
13/05/2023,2.267404,0,9239.12607,24781.35213,32706.58618,42975.32789
13/05/2023,2.28407,0,9343.617957,25037.28623,33071.18896,43441.2467
13/05/2023,2.300737,0,9447.793593,25292.3729,33434.67032,43905.69782
13/05/2023,2.317404,0,9551.64945,25546.60496,33797.44026,44368.66021
13/05/2023,2.334071,0,9655.181424,25799.96944,34158.64679,44830.11823
13/05/2023,2.350738,0,9758.387194,26052.46069,34518.69716,45290.06154
13/05/2023,2.367404,0,9861.262674,26304.07015,34877.57713,45748.47192
13/05/2023,2.384071,0,9963.804381,26554.79075,35235.27662,46205.33387
13/05/2023,2.400738,0,10066.00826,26804.6097,35591.78556,46660.63191
13/05/2023,2.417423,0,10167.87203,27053.52426,35947.0878,47114.34804
13/05/2023,2.434089,0,10269.39106,27301.52031,36301.17336,47566.47211
13/05/2023,2.450756,0,10370.56309,27548.59514,36654.03026,48016.9862
13/05/2023,2.467423,0,10471.38354,27794.73754,37005.64856,48465.87508
13/05/2023,2.48409,0,10571.85014,28039.93917,37356.01634,48913.12353
13/05/2023,2.500757,0,10671.95834,28284.19174,37705.11573,49358.71644
13/05/2023,2.517425,0,10771.70591,28527.4842,38052.93695,49802.63871
13/05/2023,2.534091,0,10871.08775,28769.81389,38399.47419,50244.87532
13/05/2023,2.550758,0,10970.10278,29011.16982,38744.71173,50685.41633
13/05/2023,2.567425,0,11068.74651,29251.54655,39088.63789,51124.29189
13/05/2023,2.584092,0,11167.0156,29490.93045,39431.24102,51561.40666
13/05/2023,2.600759,0,11265.16052,29729.31618,39772.50563,51996.75119
13/05/2023,2.617426,0,11362.66825,29966.69567,40112.42799,52430.33084
13/05/2023,2.634092,0,11459.79251,30203.06088,40450.98879,52862.14086
13/05/2023,2.650759,0,11556.52889,30438.40382,40788.18435,53292.16167
13/05/2023,2.667426,0,11652.87301,30672.71651,41123.99552,53720.3787
13/05/2023,2.684093,0,11748.82384,30905.99103,41458.41862,54146.77748
13/05/2023,2.700759,0,11844.377,31138.21948,41791.4385,54571.34356
13/05/2023,2.717426,0,11939.52926,31369.39136,42123.04765,54994.05775
13/05/2023,2.734093,0,12034.27741,31599.50414,42453.22726,55414.91541
13/05/2023,2.75076,0,12128.61824,31828.54738,42781.96998,55833.89267
13/05/2023,2.767426,0,12222.54856,32056.51332,43109.26092,56250.98494
13/05/2023,2.784093,0,12316.06518,32283.39166,43435.0965,56666.16855
13/05/2023,2.80076,0,12409.16494,32509.17992,43759.46195,57079.43896
13/05/2023,2.817426,0,12502.04998,32733.86784,44082.34627,57490.77271
13/05/2023,2.834093,0,12594.30564,32957.44783,44403.73856,57900.16531
13/05/2023,2.85076,0,12686.13398,33179.91231,44723.62791,58307.59816
13/05/2023,2.867427,0,12777.53398,33401.25376,45042.00352,58713.0575
13/05/2023,2.884094,0,12868.5015,33621.46468,45358.8546,59116.52958
13/05/2023,2.90076,0,12959.03347,33840.53763,45674.16682,59517.99617
13/05/2023,2.917427,0,13049.12579,34058.46518,45987.93674,59917.45288
13/05/2023,2.934094,0,13138.77747,34275.24243,46300.15011,60314.88157
13/05/2023,2.950761,0,13227.98342,34490.85709,46610.79283,60710.95027
13/05/2023,2.967427,0,13316.74267,34705.3019,46919.86148,61104.27909
13/05/2023,2.984094,0,13405.05019,34918.5745,47227.34205,61495.53972
13/05/2023,3.000761,0,13492.905,35130.66281,47533.22063,61884.71892
13/05/2023,3.017428,0,13580.30212,35341.56448,47837.49387,62271.80353
13/05/2023,3.034095,0,13667.2406,35551.26996,48140.14797,62656.77604
13/05/2023,3.050761,0,13753.71648,35759.77214,48441.16924,63039.63223
13/05/2023,3.067428,0,13839.72685,35967.0616,48740.55439,63420.35474
13/05/2023,3.084095,0,13925.26878,36173.13607,49038.28643,63798.92635
13/05/2023,3.100762,0,14010.33939,36377.98619,49334.36209,64175.34292
13/05/2023,3.117429,0,14094.93579,36581.60504,49628.76459,64549.58735
13/05/2023,3.134099,0,14179.05512,36783.98572,49921.49069,64921.64699
13/05/2023,3.150765,0,14262.69359,36985.12137,50212.53042,65291.50924
13/05/2023,3.167432,0,14345.85026,37185.0052,50501.86729,65659.16158
13/05/2023,3.184099,0,14428.52043,37383.63043,50789.49482,66024.59156
13/05/2023,3.200766,0,14510.7032,37580.99035,51075.40004,66387.78683
13/05/2023,3.217432,0,14592.39575,37777.07604,51359.57979,66748.73508
13/05/2023,3.234099,0,14673.59253,37971.88756,51642.01797,67107.4241
13/05/2023,3.250766,0,14754.29359,38165.41162,51922.71147,67463.84175
13/05/2023,3.267433,0,14834.49527,38357.64171,52201.64437,67817.97596
13/05/2023,3.2841,0,14914.19485,38548.57573,52478.81361,68169.81876
13/05/2023,3.300766,0,14993.38962,38738.205,52754.20662,68519.34621
13/05/2023,3.317433,0,15072.07692,38926.52311,53027.81406,68866.55851
13/05/2023,3.3341,0,15150.25408,39113.52367,53299.62668,69211.4399
13/05/2023,3.350767,0,15227.91756,39299.20037,53569.6322,69553.9748
13/05/2023,3.367433,0,15305.06652,39483.54902,53837.82766,69894.15945
13/05/2023,3.3841,0,15381.69746,39666.55916,54104.19785,70231.9784
13/05/2023,3.400767,0,15457.80777,39848.24122,54368.73984,70567.42023
13/05/2023,3.417434,0,15533.39488,40028.55993,54631.44162,70900.46978
13/05/2023,3.434101,0,15608.45624,40207.5238,54892.2943,71231.1234
13/05/2023,3.450768,0,15682.98845,40385.12475,55151.28905,71559.36607
13/05/2023,3.467434,0,15756.9907,40561.36083,55408.41418,71885.18669
13/05/2023,3.484101,0,15830.45962,40736.22405,55663.66686,72208.57054
13/05/2023,3.500768,0,15903.39274,40909.70649,55917.0355,72529.51408
13/05/2023,3.517435,0,15975.78757,41081.80627,56168.51153,72848.00272
13/05/2023,3.534101,0,16047.64086,41252.51555,56418.0836,73164.02569
13/05/2023,3.550768,0,16118.95181,41421.82857,56665.74895,73477.57229
13/05/2023,3.567435,0,16189.71719,41589.7396,56911.49636,73788.63191
13/05/2023,3.584102,0,16259.93459,41756.24294,57155.31749,74097.19402
13/05/2023,3.600768,0,16329.60165,41921.33297,57397.20409,74403.24818
13/05/2023,3.617435,0,16398.71679,42085.00223,57637.14799,74706.78057
13/05/2023,3.634102,0,16467.27532,42247.25078,57875.14105,75007.78786
13/05/2023,3.650769,0,16535.27726,42408.0657,58111.17522,75306.25638
13/05/2023,3.667436,0,16602.71954,42567.44709,58345.23985,75602.17602
13/05/2023,3.684102,0,16669.59987,42725.38771,58577.33237,75895.53677
13/05/2023,3.700769,0,16735.91599,42881.88221,58807.44223,76186.32538
13/05/2023,3.717436,0,16801.66565,43036.92529,59035.55906,76474.53867
13/05/2023,3.734103,0,16866.84663,43190.51171,59261.68033,76760.16355
13/05/2023,3.75077,0,16931.45672,43342.63454,59485.79324,77043.19034
13/05/2023,3.767437,0,16995.49373,43493.29211,59707.89532,77323.61266
13/05/2023,3.784103,0,17058.9555,43642.47757,59927.97647,77601.4146
13/05/2023,3.80077,0,17122.11566,43790.18587,60146.02678,77876.58997
13/05/2023,3.817437,0,17184.41797,43936.41202,60362.04384,78149.12948
13/05/2023,3.834104,0,17246.13863,44081.15105,60576.01784,78419.02388
13/05/2023,3.850771,0,17307.27557,44224.39972,60787.93912,78686.26406
